,Query,Bitscore,E-value
2203,OTU13731,135.0,2e-31
2204,OTU13739,135.0,2e-31
2205,OTU17770,141.0,4e-33
2206,OTU8832,132.0,2e-30
2207,OTU17739,145.0,3e-34
2208,OTU1372,143.0,1e-33
2209,OTU1361,167.0,6e-41
2210,OTU5635,150.0,6e-36
2211,OTU17685,58.4,4e-08
2212,OTU6739,152.0,2e-36
2213,OTU13672,163.0,8e-40
2214,OTU6040,93.5,1e-18
2215,OTU11066,158.0,4e-38
2216,OTU11073,163.0,8e-40
2217,OTU17252,161.0,3e-39
2218,OTU13718,163.0,8e-40
2219,OTU13714,152.0,2e-36
2220,OTU17262,113.0,8e-25
2221,OTU17266,145.0,3e-34
2222,OTU17259,135.0,2e-31
2223,OTU17247,163.0,8e-40
2224,OTU11055,141.0,4e-33
2225,OTU2573,56.5,1e-07
2226,OTU5012,119.0,2e-26
2227,OTU6220,-1.0,-1.0
2228,OTU17228,152.0,2e-36
2229,OTU1953,130.0,8e-30
2230,OTU3157,163.0,8e-40
2231,OTU2781,163.0,8e-40
2232,OTU13753,91.6,4e-18
2233,OTU17302,52.8,2e-06
2234,OTU6656,119.0,2e-26
2235,OTU211,124.0,4e-28
2236,OTU7883,86.1,2e-16
2237,OTU13583,124.0,4e-28
2238,OTU11241,119.0,2e-26
2239,OTU7885,130.0,8e-30
2240,OTU8750,-1.0,-1.0
2241,OTU7230,119.0,2e-26
2242,OTU7891,121.0,5e-27
2243,OTU11228,119.0,2e-26
2244,OTU17308,119.0,2e-26
2245,OTU17309,115.0,2e-25
2246,OTU11214,119.0,2e-26
2247,OTU17311,119.0,2e-26
2248,OTU13573,115.0,2e-25
2249,OTU4276,132.0,2e-30
2250,OTU17293,121.0,5e-27
2251,OTU11291,124.0,4e-28
2252,OTU17277,119.0,2e-26
2253,OTU17278,119.0,2e-26
2254,OTU2253,126.0,1e-28
2255,OTU11284,132.0,2e-30
2256,OTU13658,148.0,2e-35
2257,OTU7841,154.0,5e-37
2258,OTU77,167.0,6e-41
2259,OTU13613,156.0,1e-37
2260,OTU17288,150.0,6e-36
2261,OTU10672,156.0,1e-37
2262,OTU694,163.0,8e-40
2263,OTU17179,-1.0,-1.0
2264,OTU7312,163.0,8e-40
2265,OTU13946,-1.0,-1.0
2266,OTU7285,163.0,8e-40
2267,OTU1291,174.0,4e-43
2268,OTU1747,87.9,5e-17
2269,OTU6128,126.0,1e-28
2270,OTU1270,132.0,2e-30
2271,OTU94,152.0,2e-36
2272,OTU17172,100.0,6e-21
2273,OTU7893,147.0,8e-35
2274,OTU8740,100.0,6e-21
2275,OTU5659,152.0,2e-36
2276,OTU17176,141.0,4e-33
2277,OTU5053,147.0,8e-35
2278,OTU17136,139.0,1e-32
2279,OTU6564,128.0,3e-29
2280,OTU17139,147.0,8e-35
2281,OTU5658,147.0,8e-35
2282,OTU5657,147.0,8e-35
2283,OTU6129,147.0,8e-35
2284,OTU4387,147.0,8e-35
2285,OTU13818,141.0,4e-33
2286,OTU8737,147.0,8e-35
2287,OTU17135,147.0,8e-35
2288,OTU13849,152.0,2e-36
2289,OTU13865,99.0,2e-20
2290,OTU7946,150.0,6e-36
2291,OTU17209,147.0,8e-35
2292,OTU5051,147.0,8e-35
2293,OTU17203,147.0,8e-35
2294,OTU13897,147.0,8e-35
2295,OTU17212,147.0,8e-35
2296,OTU17215,137.0,5e-32
2297,OTU13806,135.0,2e-31
2298,OTU6758,141.0,4e-33
2299,OTU1450,161.0,3e-39
2300,OTU5047,152.0,2e-36
2301,OTU13966,154.0,5e-37
2302,OTU17191,147.0,8e-35
2303,OTU4720,143.0,1e-33
2304,OTU10600,111.0,3e-24
2305,OTU17439,152.0,2e-36
2306,OTU2624,150.0,6e-36
2307,OTU13734,132.0,2e-30
2308,OTU3635,150.0,6e-36
2309,OTU7826,150.0,6e-36
2310,OTU2694,150.0,6e-36
2311,OTU13775,150.0,6e-36
2312,OTU6292,132.0,2e-30
2313,OTU6121,156.0,1e-37
2314,OTU13764,145.0,3e-34
2315,OTU3517,52.8,2e-06
2316,OTU5655,150.0,6e-36
2317,OTU10961,150.0,6e-36
2318,OTU3178,150.0,6e-36
2319,OTU7737,137.0,5e-32
2320,OTU17430,93.5,1e-18
2321,OTU13704,132.0,2e-30
2322,OTU4619,150.0,6e-36
2323,OTU4754,154.0,5e-37
2324,OTU8725,45.4,0.0003
2325,OTU17415,150.0,6e-36
2326,OTU4195,156.0,1e-37
2327,OTU4774,150.0,6e-36
2328,OTU8722,150.0,6e-36
2329,OTU6139,150.0,6e-36
2330,OTU6147,152.0,2e-36
2331,OTU17422,145.0,3e-34
2332,OTU5654,150.0,6e-36
2333,OTU7240,156.0,1e-37
2334,OTU5653,150.0,6e-36
2335,OTU6109,150.0,6e-36
2336,OTU17428,150.0,6e-36
2337,OTU5652,150.0,6e-36
2338,OTU7757,150.0,6e-36
2339,OTU3159,150.0,6e-36
2340,OTU10842,150.0,6e-36
2341,OTU8782,154.0,5e-37
2342,OTU5649,132.0,2e-30
2343,OTU8780,156.0,1e-37
2344,OTU17479,150.0,6e-36
2345,OTU10688,150.0,6e-36
2346,OTU8778,150.0,6e-36
2347,OTU8777,150.0,6e-36
2348,OTU10839,150.0,6e-36
2349,OTU17489,80.5,8e-15
2350,OTU13746,145.0,3e-34
2351,OTU6559,150.0,6e-36
2352,OTU13561,150.0,6e-36
2353,OTU17363,150.0,6e-36
2354,OTU17344,150.0,6e-36
2355,OTU17345,137.0,5e-32
2356,OTU17356,148.0,2e-35
2357,OTU652,-1.0,-1.0
2358,OTU8754,-1.0,-1.0
2359,OTU17360,-1.0,-1.0
2360,OTU3523,106.0,1e-22
2361,OTU17322,158.0,4e-38
2362,OTU17325,-1.0,-1.0
2363,OTU8766,-1.0,-1.0
2364,OTU17318,163.0,8e-40
2365,OTU17327,163.0,8e-40
2366,OTU17329,-1.0,-1.0
2367,OTU17330,163.0,8e-40
2368,OTU5647,104.0,5e-22
2369,OTU13909,-1.0,-1.0
2370,OTU17337,163.0,8e-40
2371,OTU17386,-1.0,-1.0
2372,OTU11376,158.0,4e-38
2373,OTU17388,-1.0,-1.0
2374,OTU13823,167.0,6e-41
2375,OTU17391,163.0,8e-40
2376,OTU17400,163.0,8e-40
2377,OTU3525,150.0,6e-36
2378,OTU17403,150.0,6e-36
2379,OTU17405,148.0,2e-35
2380,OTU6440,148.0,2e-35
2381,OTU17397,148.0,2e-35
2382,OTU17385,143.0,1e-33
2383,OTU17367,148.0,2e-35
2384,OTU6422,148.0,2e-35
2385,OTU13889,62.1,3e-09
2386,OTU17369,148.0,2e-35
2387,OTU17371,148.0,2e-35
2388,OTU17375,63.9,8e-10
2389,OTU17376,145.0,3e-34
2390,OTU13857,148.0,2e-35
2391,OTU13864,150.0,6e-36
2392,OTU17383,154.0,5e-37
2393,OTU8527,156.0,1e-37
2394,OTU14837,148.0,2e-35
2395,OTU9126,62.1,3e-09
2396,OTU17381,148.0,2e-35
2397,OTU11128,67.6,6e-11
2398,OTU17377,148.0,2e-35
2399,OTU17373,80.5,8e-15
2400,OTU17364,65.8,2e-10
2401,OTU17372,65.8,2e-10
2402,OTU17370,150.0,6e-36
2403,OTU7432,52.8,2e-06
2404,OTU11449,148.0,2e-35
2405,OTU11426,148.0,2e-35
2406,OTU8756,150.0,6e-36
2407,OTU2030,156.0,1e-37
2408,OTU17366,150.0,6e-36
2409,OTU17365,150.0,6e-36
2410,OTU17374,150.0,6e-36
2411,OTU11440,130.0,8e-30
2412,OTU11015,150.0,6e-36
2413,OTU17406,-1.0,-1.0
2414,OTU8759,150.0,6e-36
2415,OTU11090,156.0,1e-37
2416,OTU17393,150.0,6e-36
2417,OTU17392,150.0,6e-36
2418,OTU1925,161.0,3e-39
2419,OTU8761,145.0,3e-34
2420,OTU11442,126.0,1e-28
2421,OTU497,150.0,6e-36
2422,OTU6173,99.0,2e-20
2423,OTU741,159.0,1e-38
2424,OTU4138,154.0,5e-37
2425,OTU11290,152.0,2e-36
2426,OTU742,154.0,5e-37
2427,OTU17333,154.0,5e-37
2428,OTU6379,148.0,2e-35
2429,OTU17331,145.0,3e-34
2430,OTU11388,148.0,2e-35
2431,OTU8765,-1.0,-1.0
2432,OTU7823,147.0,8e-35
2433,OTU7821,-1.0,-1.0
2434,OTU7383,156.0,1e-37
2435,OTU3301,-1.0,-1.0
2436,OTU17324,143.0,1e-33
2437,OTU11457,143.0,1e-33
2438,OTU10658,143.0,1e-33
2439,OTU3999,154.0,5e-37
2440,OTU17339,143.0,1e-33
2441,OTU800,148.0,2e-35
2442,OTU11441,145.0,3e-34
2443,OTU4707,76.8,1e-13
2444,OTU232,161.0,3e-39
2445,OTU3081,100.0,6e-21
2446,OTU2446,161.0,3e-39
2447,OTU7802,150.0,6e-36
2448,OTU7401,156.0,1e-37
2449,OTU1343,161.0,3e-39
2450,OTU1243,148.0,2e-35
2451,OTU650,141.0,4e-33
2452,OTU83,52.8,2e-06
2453,OTU1912,150.0,6e-36
2454,OTU17342,156.0,1e-37
2455,OTU17407,80.5,8e-15
2456,OTU11459,150.0,6e-36
2457,OTU17408,52.8,2e-06
2458,OTU17473,156.0,1e-37
2459,OTU17472,-1.0,-1.0
2460,OTU11467,156.0,1e-37
2461,OTU11473,156.0,1e-37
2462,OTU17470,156.0,1e-37
2463,OTU11476,156.0,1e-37
2464,OTU1221,124.0,4e-28
2465,OTU8773,150.0,6e-36
2466,OTU10883,150.0,6e-36
2467,OTU17463,156.0,1e-37
2468,OTU7719,122.0,1e-27
2469,OTU17460,156.0,1e-37
2470,OTU8775,150.0,6e-36
2471,OTU11466,156.0,1e-37
2472,OTU11465,156.0,1e-37
2473,OTU11453,156.0,1e-37
2474,OTU10809,156.0,1e-37
2475,OTU17495,150.0,6e-36
2476,OTU7702,148.0,2e-35
2477,OTU10835,137.0,5e-32
2478,OTU11479,143.0,1e-33
2479,OTU17491,-1.0,-1.0
2480,OTU2865,110.0,1e-23
2481,OTU473,-1.0,-1.0
2482,OTU11666,-1.0,-1.0
2483,OTU11664,158.0,4e-38
2484,OTU8781,147.0,8e-35
2485,OTU11677,156.0,1e-37
2486,OTU10849,150.0,6e-36
2487,OTU10848,150.0,6e-36
2488,OTU17478,156.0,1e-37
2489,OTU5583,150.0,6e-36
2490,OTU6211,-1.0,-1.0
2491,OTU17432,150.0,6e-36
2492,OTU11685,110.0,1e-23
2493,OTU8783,-1.0,-1.0
2494,OTU7756,159.0,1e-38
2495,OTU6235,102.0,2e-21
2496,OTU6224,104.0,5e-22
2497,OTU11680,113.0,8e-25
2498,OTU7748,135.0,2e-31
2499,OTU8770,145.0,3e-34
2500,OTU7747,113.0,8e-25
2501,OTU10807,-1.0,-1.0
2502,OTU6341,102.0,2e-21
2503,OTU17421,104.0,5e-22
2504,OTU8751,113.0,8e-25
2505,OTU17410,102.0,2e-21
2506,OTU8723,104.0,5e-22
2507,OTU7740,108.0,4e-23
2508,OTU8724,113.0,8e-25
2509,OTU6362,128.0,3e-29
2510,OTU8726,111.0,3e-24
2511,OTU6135,69.4,2e-11
2512,OTU11640,104.0,5e-22
2513,OTU5152,104.0,5e-22
2514,OTU6359,161.0,3e-39
2515,OTU10957,-1.0,-1.0
2516,OTU1255,148.0,2e-35
2517,OTU4538,143.0,1e-33
2518,OTU10891,97.1,8e-20
2519,OTU10890,106.0,1e-22
2520,OTU2800,-1.0,-1.0
2521,OTU7221,156.0,1e-37
2522,OTU10872,156.0,1e-37
2523,OTU11646,156.0,1e-37
2524,OTU1046,130.0,8e-30
2525,OTU17442,58.4,4e-08
2526,OTU8727,156.0,1e-37
2527,OTU17440,154.0,5e-37
2528,OTU11743,115.0,2e-25
2529,OTU17437,156.0,1e-37
2530,OTU2392,52.8,2e-06
2531,OTU17434,156.0,1e-37
2532,OTU17409,156.0,1e-37
2533,OTU5150,102.0,2e-21
2534,OTU948,161.0,3e-39
2535,OTU6750,100.0,6e-21
2536,OTU17197,-1.0,-1.0
2537,OTU642,156.0,1e-37
2538,OTU1828,150.0,6e-36
2539,OTU1501,150.0,6e-36
2540,OTU3825,145.0,3e-34
2541,OTU10638,150.0,6e-36
2542,OTU17188,145.0,3e-34
2543,OTU17187,150.0,6e-36
2544,OTU17185,145.0,3e-34
2545,OTU17184,150.0,6e-36
2546,OTU7203,150.0,6e-36
2547,OTU11763,56.5,1e-07
2548,OTU1918,150.0,6e-36
2549,OTU17181,150.0,6e-36
2550,OTU10617,161.0,3e-39
2551,OTU17213,99.0,2e-20
2552,OTU678,135.0,2e-31
2553,OTU1473,161.0,3e-39
2554,OTU1738,161.0,3e-39
2555,OTU2118,147.0,8e-35
2556,OTU17217,119.0,2e-26
2557,OTU7339,141.0,4e-33
2558,OTU979,159.0,1e-38
2559,OTU418,108.0,4e-23
2560,OTU10538,148.0,2e-35
2561,OTU2375,154.0,5e-37
2562,OTU11731,148.0,2e-35
2563,OTU7950,148.0,2e-35
2564,OTU17208,148.0,2e-35
2565,OTU10567,154.0,5e-37
2566,OTU4769,52.8,2e-06
2567,OTU3532,161.0,3e-39
2568,OTU10563,161.0,3e-39
2569,OTU595,82.4,2e-15
2570,OTU2610,161.0,3e-39
2571,OTU5191,161.0,3e-39
2572,OTU11709,82.4,2e-15
2573,OTU17148,156.0,1e-37
2574,OTU17147,143.0,1e-33
2575,OTU17146,143.0,1e-33
2576,OTU695,78.7,3e-14
2577,OTU17143,-1.0,-1.0
2578,OTU1520,156.0,1e-37
2579,OTU1595,150.0,6e-36
2580,OTU2974,124.0,4e-28
2581,OTU484,124.0,4e-28
2582,OTU17140,63.9,8e-10
2583,OTU991,135.0,2e-31
2584,OTU1129,56.5,1e-07
2585,OTU6168,141.0,4e-33
2586,OTU17167,54.7,5e-07
2587,OTU8741,-1.0,-1.0
2588,OTU1799,161.0,3e-39
2589,OTU17171,110.0,1e-23
2590,OTU17169,145.0,3e-34
2591,OTU10695,156.0,1e-37
2592,OTU3733,93.5,1e-18
2593,OTU11721,156.0,1e-37
2594,OTU17164,156.0,1e-37
2595,OTU3114,156.0,1e-37
2596,OTU1817,161.0,3e-39
2597,OTU17161,156.0,1e-37
2598,OTU3734,161.0,3e-39
2599,OTU2338,-1.0,-1.0
2600,OTU17291,-1.0,-1.0
2601,OTU8745,148.0,2e-35
2602,OTU1362,135.0,2e-31
2603,OTU1627,150.0,6e-36
2604,OTU17287,115.0,2e-25
2605,OTU7522,156.0,1e-37
2606,OTU11520,161.0,3e-39
2607,OTU1620,154.0,5e-37
2608,OTU17280,150.0,6e-36
2609,OTU4578,139.0,1e-32
2610,OTU17305,148.0,2e-35
2611,OTU17312,154.0,5e-37
2612,OTU1111,159.0,1e-38
2613,OTU6769,-1.0,-1.0
2614,OTU6567,161.0,3e-39
2615,OTU17304,139.0,1e-32
2616,OTU433,156.0,1e-37
2617,OTU17301,145.0,3e-34
2618,OTU8785,82.4,2e-15
2619,OTU17296,139.0,1e-32
2620,OTU11495,145.0,3e-34
2621,OTU17242,139.0,1e-32
2622,OTU17241,139.0,1e-32
2623,OTU11506,93.5,1e-18
2624,OTU11510,91.6,4e-18
2625,OTU17231,145.0,3e-34
2626,OTU17229,52.8,2e-06
2627,OTU2051,141.0,4e-33
2628,OTU64,159.0,1e-38
2629,OTU89,172.0,1e-42
2630,OTU7382,134.0,6e-31
2631,OTU727,145.0,3e-34
2632,OTU11054,139.0,1e-32
2633,OTU1030,161.0,3e-39
2634,OTU11599,156.0,1e-37
2635,OTU2296,161.0,3e-39
2636,OTU11593,156.0,1e-37
2637,OTU554,161.0,3e-39
2638,OTU11591,132.0,2e-30
2639,OTU17249,128.0,3e-29
2640,OTU17257,148.0,2e-35
2641,OTU3113,62.1,3e-09
2642,OTU17255,124.0,4e-28
2643,OTU6732,154.0,5e-37
2644,OTU8829,154.0,5e-37
2645,OTU7582,150.0,6e-36
2646,OTU5576,150.0,6e-36
2647,OTU4606,150.0,6e-36
2648,OTU11620,150.0,6e-36
2649,OTU3116,145.0,3e-34
2650,OTU11619,145.0,3e-34
2651,OTU7565,150.0,6e-36
2652,OTU10983,150.0,6e-36
2653,OTU7573,150.0,6e-36
2654,OTU4022,150.0,6e-36
2655,OTU2059,150.0,6e-36
2656,OTU11606,150.0,6e-36
2657,OTU3258,150.0,6e-36
2658,OTU17772,150.0,6e-36
2659,OTU17771,145.0,3e-34
2660,OTU2543,152.0,2e-36
2661,OTU1001,150.0,6e-36
2662,OTU17769,82.4,2e-15
2663,OTU11607,150.0,6e-36
2664,OTU17766,143.0,1e-33
2665,OTU17764,145.0,3e-34
2666,OTU11585,156.0,1e-37
2667,OTU11196,156.0,1e-37
2668,OTU17757,-1.0,-1.0
2669,OTU3383,119.0,2e-26
2670,OTU5181,152.0,2e-36
2671,OTU2114,130.0,8e-30
2672,OTU11112,154.0,5e-37
2673,OTU11559,152.0,2e-36
2674,OTU17695,156.0,1e-37
2675,OTU17686,119.0,2e-26
2676,OTU17694,156.0,1e-37
2677,OTU17691,156.0,1e-37
2678,OTU17689,156.0,1e-37
2679,OTU17706,161.0,3e-39
2680,OTU17707,161.0,3e-39
2681,OTU17719,156.0,1e-37
2682,OTU17728,156.0,1e-37
2683,OTU11578,156.0,1e-37
2684,OTU7653,161.0,3e-39
2685,OTU17724,156.0,1e-37
2686,OTU17723,156.0,1e-37
2687,OTU8843,161.0,3e-39
2688,OTU17720,156.0,1e-37
2689,OTU7286,161.0,3e-39
2690,OTU11135,156.0,1e-37
2691,OTU17717,156.0,1e-37
2692,OTU7640,124.0,4e-28
2693,OTU7353,130.0,8e-30
2694,OTU11576,128.0,3e-29
2695,OTU7358,97.1,8e-20
2696,OTU2391,-1.0,-1.0
2697,OTU17711,147.0,8e-35
2698,OTU1003,161.0,3e-39
2699,OTU11572,111.0,3e-24
2700,OTU8845,-1.0,-1.0
2701,OTU2233,130.0,8e-30
2702,OTU7364,45.4,0.0003
2703,OTU11577,156.0,1e-37
2704,OTU17837,156.0,1e-37
2705,OTU11579,130.0,8e-30
2706,OTU1785,161.0,3e-39
2707,OTU1760,156.0,1e-37
2708,OTU17828,152.0,2e-36
2709,OTU17827,150.0,6e-36
2710,OTU11555,150.0,6e-36
2711,OTU17865,150.0,6e-36
2712,OTU10028,150.0,6e-36
2713,OTU17864,150.0,6e-36
2714,OTU17863,150.0,6e-36
2715,OTU11562,145.0,3e-34
2716,OTU17856,154.0,5e-37
2717,OTU17850,150.0,6e-36
2718,OTU17848,150.0,6e-36
2719,OTU17846,145.0,3e-34
2720,OTU2007,150.0,6e-36
2721,OTU6799,145.0,3e-34
2722,OTU2874,145.0,3e-34
2723,OTU7677,150.0,6e-36
2724,OTU7403,145.0,3e-34
2725,OTU4383,150.0,6e-36
2726,OTU11592,150.0,6e-36
2727,OTU17783,150.0,6e-36
2728,OTU4084,150.0,6e-36
2729,OTU5846,52.8,2e-06
2730,OTU11598,150.0,6e-36
2731,OTU11600,150.0,6e-36
2732,OTU17788,150.0,6e-36
2733,OTU11587,150.0,6e-36
2734,OTU2175,145.0,3e-34
2735,OTU17815,145.0,3e-34
2736,OTU11504,150.0,6e-36
2737,OTU8794,52.8,2e-06
2738,OTU11505,150.0,6e-36
2739,OTU11508,-1.0,-1.0
2740,OTU11511,139.0,1e-32
2741,OTU7587,102.0,2e-21
2742,OTU757,119.0,2e-26
2743,OTU1645,159.0,1e-38
2744,OTU17801,156.0,1e-37
2745,OTU2719,156.0,1e-37
2746,OTU17806,156.0,1e-37
2747,OTU7594,148.0,2e-35
2748,OTU5558,148.0,2e-35
2749,OTU11487,119.0,2e-26
2750,OTU17777,-1.0,-1.0
2751,OTU11490,143.0,1e-33
2752,OTU17565,150.0,6e-36
2753,OTU17564,148.0,2e-35
2754,OTU17562,150.0,6e-36
2755,OTU17561,150.0,6e-36
2756,OTU11497,150.0,6e-36
2757,OTU17557,-1.0,-1.0
2758,OTU11537,119.0,2e-26
2759,OTU17553,132.0,2e-30
2760,OTU8797,124.0,4e-28
2761,OTU2634,145.0,3e-34
2762,OTU11540,148.0,2e-35
2763,OTU9789,156.0,1e-37
2764,OTU17590,119.0,2e-26
2765,OTU17589,139.0,1e-32
2766,OTU9814,156.0,1e-37
2767,OTU8799,76.8,1e-13
2768,OTU17584,156.0,1e-37
2769,OTU11519,150.0,6e-36
2770,OTU17571,156.0,1e-37
2771,OTU17579,150.0,6e-36
2772,OTU17576,156.0,1e-37
2773,OTU17546,119.0,2e-26
2774,OTU17520,141.0,4e-33
2775,OTU5567,161.0,3e-39
2776,OTU17515,156.0,1e-37
2777,OTU17514,156.0,1e-37
2778,OTU451,147.0,8e-35
2779,OTU4384,161.0,3e-39
2780,OTU1621,161.0,3e-39
2781,OTU17509,150.0,6e-36
2782,OTU6580,161.0,3e-39
2783,OTU5173,161.0,3e-39
2784,OTU7620,161.0,3e-39
2785,OTU2389,161.0,3e-39
2786,OTU144,161.0,3e-39
2787,OTU7618,161.0,3e-39
2788,OTU7436,161.0,3e-39
2789,OTU2621,161.0,3e-39
2790,OTU17503,124.0,4e-28
2791,OTU3903,161.0,3e-39
2792,OTU2878,161.0,3e-39
2793,OTU8810,161.0,3e-39
2794,OTU1176,161.0,3e-39
2795,OTU17534,156.0,1e-37
2796,OTU17532,156.0,1e-37
2797,OTU1394,111.0,3e-24
2798,OTU17659,156.0,1e-37
2799,OTU8813,130.0,8e-30
2800,OTU4814,141.0,4e-33
2801,OTU17657,156.0,1e-37
2802,OTU2718,141.0,4e-33
2803,OTU17652,135.0,2e-31
2804,OTU5147,161.0,3e-39
2805,OTU5867,161.0,3e-39
2806,OTU2020,161.0,3e-39
2807,OTU17645,137.0,5e-32
2808,OTU17644,122.0,1e-27
2809,OTU17643,128.0,3e-29
2810,OTU10284,-1.0,-1.0
2811,OTU8816,-1.0,-1.0
2812,OTU7421,-1.0,-1.0
2813,OTU7390,156.0,1e-37
2814,OTU6666,-1.0,-1.0
2815,OTU10330,-1.0,-1.0
2816,OTU11757,-1.0,-1.0
2817,OTU8817,148.0,2e-35
2818,OTU17681,-1.0,-1.0
2819,OTU17680,-1.0,-1.0
2820,OTU10317,-1.0,-1.0
2821,OTU17677,-1.0,-1.0
2822,OTU17675,150.0,6e-36
2823,OTU17672,115.0,2e-25
2824,OTU2892,141.0,4e-33
2825,OTU16543,141.0,4e-33
2826,OTU8699,141.0,4e-33
2827,OTU4804,135.0,2e-31
2828,OTU4797,148.0,2e-35
2829,OTU11749,137.0,5e-32
2830,OTU10343,156.0,1e-37
2831,OTU708,156.0,1e-37
2832,OTU17667,145.0,3e-34
2833,OTU1105,147.0,8e-35
2834,OTU5562,54.7,5e-07
2835,OTU8364,145.0,3e-34
2836,OTU4093,150.0,6e-36
2837,OTU17610,145.0,3e-34
2838,OTU17609,150.0,6e-36
2839,OTU11644,56.5,1e-07
2840,OTU7373,145.0,3e-34
2841,OTU17606,130.0,8e-30
2842,OTU6614,150.0,6e-36
2843,OTU11648,145.0,3e-34
2844,OTU11649,134.0,6e-31
2845,OTU8623,150.0,6e-36
2846,OTU4802,139.0,1e-32
2847,OTU11655,150.0,6e-36
2848,OTU5739,150.0,6e-36
2849,OTU8624,150.0,6e-36
2850,OTU17597,150.0,6e-36
2851,OTU4181,150.0,6e-36
2852,OTU17595,150.0,6e-36
2853,OTU7262,150.0,6e-36
2854,OTU8626,150.0,6e-36
2855,OTU10450,150.0,6e-36
2856,OTU17632,145.0,3e-34
2857,OTU6770,150.0,6e-36
2858,OTU6765,145.0,3e-34
2859,OTU17630,150.0,6e-36
2860,OTU17628,139.0,1e-32
2861,OTU17625,145.0,3e-34
2862,OTU17623,150.0,6e-36
2863,OTU17621,145.0,3e-34
2864,OTU10455,156.0,1e-37
2865,OTU11632,150.0,6e-36
2866,OTU4246,150.0,6e-36
2867,OTU5120,150.0,6e-36
2868,OTU16637,145.0,3e-34
2869,OTU16636,156.0,1e-37
2870,OTU10098,145.0,3e-34
2871,OTU1591,156.0,1e-37
2872,OTU11691,-1.0,-1.0
2873,OTU16669,156.0,1e-37
2874,OTU5752,161.0,3e-39
2875,OTU11667,154.0,5e-37
2876,OTU2084,-1.0,-1.0
2877,OTU10096,150.0,6e-36
2878,OTU10035,-1.0,-1.0
2879,OTU8272,143.0,1e-33
2880,OTU8388,161.0,3e-39
2881,OTU11418,156.0,1e-37
2882,OTU16651,156.0,1e-37
2883,OTU16627,150.0,6e-36
2884,OTU648,137.0,5e-32
2885,OTU7357,152.0,2e-36
2886,OTU8442,143.0,1e-33
2887,OTU2200,148.0,2e-35
2888,OTU16600,148.0,2e-35
2889,OTU3581,167.0,6e-41
2890,OTU16599,156.0,1e-37
2891,OTU16595,150.0,6e-36
2892,OTU11468,156.0,1e-37
2893,OTU16592,-1.0,-1.0
2894,OTU10047,156.0,1e-37
2895,OTU5581,161.0,3e-39
2896,OTU16589,-1.0,-1.0
2897,OTU1292,-1.0,-1.0
2898,OTU11428,150.0,6e-36
2899,OTU2326,150.0,6e-36
2900,OTU3732,150.0,6e-36
2901,OTU142,159.0,1e-38
2902,OTU8446,159.0,1e-38
2903,OTU16619,147.0,8e-35
2904,OTU11398,-1.0,-1.0
2905,OTU16617,156.0,1e-37
2906,OTU16615,150.0,6e-36
2907,OTU11437,161.0,3e-39
2908,OTU3365,161.0,3e-39
2909,OTU11387,156.0,1e-37
2910,OTU1478,73.1,1e-12
2911,OTU11407,134.0,6e-31
2912,OTU11395,-1.0,-1.0
2913,OTU8648,156.0,1e-37
2914,OTU10271,156.0,1e-37
2915,OTU3369,156.0,1e-37
2916,OTU10182,161.0,3e-39
2917,OTU16735,-1.0,-1.0
2918,OTU16721,52.8,2e-06
2919,OTU11444,150.0,6e-36
2920,OTU10216,152.0,2e-36
2921,OTU3374,45.4,0.0003
2922,OTU6037,-1.0,-1.0
2923,OTU4638,150.0,6e-36
2924,OTU4871,154.0,5e-37
2925,OTU8422,159.0,1e-38
2926,OTU5607,154.0,5e-37
2927,OTU16759,161.0,3e-39
2928,OTU11769,161.0,3e-39
2929,OTU12274,161.0,3e-39
2930,OTU2827,159.0,1e-38
2931,OTU3262,159.0,1e-38
2932,OTU12435,154.0,5e-37
2933,OTU16749,156.0,1e-37
2934,OTU12436,161.0,3e-39
2935,OTU12438,139.0,1e-32
2936,OTU16697,161.0,3e-39
2937,OTU10199,161.0,3e-39
2938,OTU8589,141.0,4e-33
2939,OTU16691,141.0,4e-33
2940,OTU16690,139.0,1e-32
2941,OTU12441,141.0,4e-33
2942,OTU12442,161.0,3e-39
2943,OTU16686,139.0,1e-32
2944,OTU12443,161.0,3e-39
2945,OTU16680,156.0,1e-37
2946,OTU12446,156.0,1e-37
2947,OTU16676,156.0,1e-37
2948,OTU12453,156.0,1e-37
2949,OTU4843,161.0,3e-39
2950,OTU10174,-1.0,-1.0
2951,OTU5103,161.0,3e-39
2952,OTU6325,156.0,1e-37
2953,OTU12455,-1.0,-1.0
2954,OTU12456,-1.0,-1.0
2955,OTU16713,156.0,1e-37
2956,OTU3245,161.0,3e-39
2957,OTU2277,161.0,3e-39
2958,OTU2144,165.0,2e-40
2959,OTU6016,161.0,3e-39
2960,OTU10172,73.1,1e-12
2961,OTU16698,156.0,1e-37
2962,OTU8048,165.0,2e-40
2963,OTU16704,-1.0,-1.0
2964,OTU5604,156.0,1e-37
2965,OTU12415,156.0,1e-37
2966,OTU12429,-1.0,-1.0
2967,OTU16490,150.0,6e-36
2968,OTU16463,156.0,1e-37
2969,OTU10251,156.0,1e-37
2970,OTU12406,156.0,1e-37
2971,OTU3767,152.0,2e-36
2972,OTU16457,143.0,1e-33
2973,OTU8061,156.0,1e-37
2974,OTU8606,145.0,3e-34
2975,OTU10260,161.0,3e-39
2976,OTU8046,161.0,3e-39
2977,OTU10264,163.0,8e-40
